unit_id,RUL_prédit,Alerte,RUL_réel
1,19,🟡 ALERTE   — Planifier maintenance,112
2,21,🟡 ALERTE   — Planifier maintenance,98
3,11,🟡 ALERTE   — Planifier maintenance,69
4,18,🟡 ALERTE   — Planifier maintenance,82
5,19,🟡 ALERTE   — Planifier maintenance,91
6,20,🟡 ALERTE   — Planifier maintenance,93
7,14,🟡 ALERTE   — Planifier maintenance,91
8,18,🟡 ALERTE   — Planifier maintenance,95
9,18,🟡 ALERTE   — Planifier maintenance,111
10,15,🟡 ALERTE   — Planifier maintenance,96
11,15,🟡 ALERTE   — Planifier maintenance,97
12,20,🟡 ALERTE   — Planifier maintenance,124
13,14,🟡 ALERTE   — Planifier maintenance,95
14,19,🟡 ALERTE   — Planifier maintenance,107
15,17,🟡 ALERTE   — Planifier maintenance,83
16,19,🟡 ALERTE   — Planifier maintenance,84
17,10,🟡 ALERTE   — Planifier maintenance,50
18,7,🔴 CRITIQUE — Intervention immédiate,28
19,13,🟡 ALERTE   — Planifier maintenance,87
20,2,🔴 CRITIQUE — Intervention immédiate,16
21,10,🔴 CRITIQUE — Intervention immédiate,57
22,16,🟡 ALERTE   — Planifier maintenance,111
23,17,🟡 ALERTE   — Planifier maintenance,113
24,5,🔴 CRITIQUE — Intervention immédiate,20
25,19,🟡 ALERTE   — Planifier maintenance,145
26,17,🟡 ALERTE   — Planifier maintenance,119
27,17,🟡 ALERTE   — Planifier maintenance,66
28,13,🟡 ALERTE   — Planifier maintenance,97
29,15,🟡 ALERTE   — Planifier maintenance,90
30,18,🟡 ALERTE   — Planifier maintenance,115
31,3,🔴 CRITIQUE — Intervention immédiate,8
32,9,🔴 CRITIQUE — Intervention immédiate,48
33,16,🟡 ALERTE   — Planifier maintenance,106
34,1,🔴 CRITIQUE — Intervention immédiate,7
35,2,🔴 CRITIQUE — Intervention immédiate,11
36,4,🔴 CRITIQUE — Intervention immédiate,19
37,5,🔴 CRITIQUE — Intervention immédiate,21
38,8,🔴 CRITIQUE — Intervention immédiate,50
39,17,🟡 ALERTE   — Planifier maintenance,142
40,5,🔴 CRITIQUE — Intervention immédiate,28
41,8,🔴 CRITIQUE — Intervention immédiate,18
42,4,🔴 CRITIQUE — Intervention immédiate,10
43,14,🟡 ALERTE   — Planifier maintenance,59
44,18,🟡 ALERTE   — Planifier maintenance,109
45,8,🔴 CRITIQUE — Intervention immédiate,114
46,13,🟡 ALERTE   — Planifier maintenance,47
47,15,🟡 ALERTE   — Planifier maintenance,135
48,19,🟡 ALERTE   — Planifier maintenance,92
49,2,🔴 CRITIQUE — Intervention immédiate,21
50,15,🟡 ALERTE   — Planifier maintenance,79
51,18,🟡 ALERTE   — Planifier maintenance,114
52,5,🔴 CRITIQUE — Intervention immédiate,29
53,7,🔴 CRITIQUE — Intervention immédiate,26
54,19,🟡 ALERTE   — Planifier maintenance,97
55,17,🟡 ALERTE   — Planifier maintenance,137
56,3,🔴 CRITIQUE — Intervention immédiate,15
57,16,🟡 ALERTE   — Planifier maintenance,103
58,12,🟡 ALERTE   — Planifier maintenance,37
59,17,🟡 ALERTE   — Planifier maintenance,114
60,16,🟡 ALERTE   — Planifier maintenance,100
61,5,🔴 CRITIQUE — Intervention immédiate,21
62,11,🟡 ALERTE   — Planifier maintenance,54
63,18,🟡 ALERTE   — Planifier maintenance,72
64,10,🔴 CRITIQUE — Intervention immédiate,28
65,15,🟡 ALERTE   — Planifier maintenance,128
66,3,🔴 CRITIQUE — Intervention immédiate,14
67,12,🟡 ALERTE   — Planifier maintenance,77
68,3,🔴 CRITIQUE — Intervention immédiate,8
69,18,🟡 ALERTE   — Planifier maintenance,121
70,16,🟡 ALERTE   — Planifier maintenance,94
71,13,🟡 ALERTE   — Planifier maintenance,118
72,12,🟡 ALERTE   — Planifier maintenance,50
73,20,🟡 ALERTE   — Planifier maintenance,131
74,13,🟡 ALERTE   — Planifier maintenance,126
75,20,🟡 ALERTE   — Planifier maintenance,113
76,2,🔴 CRITIQUE — Intervention immédiate,10
77,3,🔴 CRITIQUE — Intervention immédiate,34
78,19,🟡 ALERTE   — Planifier maintenance,107
79,14,🟡 ALERTE   — Planifier maintenance,63
80,10,🔴 CRITIQUE — Intervention immédiate,90
81,1,🔴 CRITIQUE — Intervention immédiate,8
82,2,🔴 CRITIQUE — Intervention immédiate,9
83,17,🟡 ALERTE   — Planifier maintenance,137
84,11,🟡 ALERTE   — Planifier maintenance,58
85,19,🟡 ALERTE   — Planifier maintenance,118
86,14,🟡 ALERTE   — Planifier maintenance,89
87,19,🟡 ALERTE   — Planifier maintenance,116
88,21,🟡 ALERTE   — Planifier maintenance,115
89,17,🟡 ALERTE   — Planifier maintenance,136
90,5,🔴 CRITIQUE — Intervention immédiate,28
91,4,🔴 CRITIQUE — Intervention immédiate,38
92,4,🔴 CRITIQUE — Intervention immédiate,20
93,9,🔴 CRITIQUE — Intervention immédiate,85
94,10,🟡 ALERTE   — Planifier maintenance,55
95,18,🟡 ALERTE   — Planifier maintenance,128
96,17,🟡 ALERTE   — Planifier maintenance,137
97,13,🟡 ALERTE   — Planifier maintenance,82
98,17,🟡 ALERTE   — Planifier maintenance,59
99,15,🟡 ALERTE   — Planifier maintenance,117
100,8,🔴 CRITIQUE — Intervention immédiate,20
